index,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
260,"A vision for human-machine mutual understanding, trust establishment, and collaboration",C. R. B. Azevedo; K. Raizer; R. Souza,Ericsson Research - Affiliated Brazilian Branch; Ericsson Research - Affiliated Brazilian Branch; Ericsson Research - Affiliated Brazilian Branch,2017 IEEE Conference on Cognitive and Computational Aspects of Situation Management (CogSIMA),,2017,,,1,3,"Human-machine interactions are likely to require synergistic multidisciplinary research efforts for supporting a paradigm shift towards collaborative-oriented use cases. An essential aspect of collaboration is trust and in order to establish it there is need for human-machine mutual understanding (HMMU). We argue that achieving HMMU will require evolving from an approach that reduces human factors as uncontrollable environmental elements, to one that repositions human emotions not only as a central part of an integrated control paradigm, but also as interpretable and steerable through appropriate information flows and mutual learning cycles. On the strategic decision-making side, we argue conflict resolution will require anticipating multiple trade-off situations that include human factors. On the operational level, symbiotic human-machine cognitive architectures should embed detected human emotions as inputs in shared machine control models. Trust measurements will play the role of mediating task coordination by pinpointing and dynamically composing appropriate situation-aware interaction protocols. In addition to a vision for HMMU, this paper proposes a multidisciplinary research strategy that attempts to unify the isolated efforts of different communities. The proposed vision is contextualized within a high-level research roadmap to support near and long-term activities in HMMU.",2379-1675,978-1-5090-6380-2,10.1109/COGSIMA.2017.7929606,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7929606,Human-Machine Interaction;Autonomous Systems;Situation-Awareness;Cognitive Agents;Trust;Shared Control,Collaboration;Hidden Markov models;Autonomous systems;Robots;Man-machine systems;Human factors;Computer architecture,decision making;groupware;human computer interaction;learning (artificial intelligence);software architecture,human-machine mutual understanding;trust establishment;human-machine interactions;collaborative-oriented use cases;HMMU;information flows;mutual learning cycles;strategic decision making;symbiotic human-machine cognitive architectures;situation-aware interaction protocols,,3.0,21.0,,,,,IEEE,IEEE Conferences
261,A Workflow for Visual Diagnostics of Binary Classifiers using Instance-Level Explanations,J. Krause; A. Dasgupta; J. Swartz; Y. Aphinyanaphongs; E. Bertini,NYU Tandon School of Engineering; Pacific Northwest National Laboratory; NYU School of Medicine; NYU School of Medicine; NYU Tandon School of Engineering,2017 IEEE Conference on Visual Analytics Science and Technology (VAST),,2017,,,162,172,"Human-in-the-loop data analysis applications necessitate greater transparency in machine learning models for experts to understand and trust their decisions. To this end, we propose a visual analytics workflow to help data scientists and domain experts explore, diagnose, and understand the decisions made by a binary classifier. The approach leverages “instance-level explanations”, measures of local feature relevance that explain single instances, and uses them to build a set of visual representations that guide the users in their investigation. The workflow is based on three main visual representations and steps: one based on aggregate statistics to see how data distributes across correct / incorrect decisions; one based on explanations to understand which features are used to make these decisions; and one based on raw data, to derive insights on potential root causes for the observed patterns. The workflow is derived from a long-term collaboration with a group of machine learning and healthcare professionals who used our method to make sense of machine learning models they developed. The case study from this collaboration demonstrates that the proposed workflow helps experts derive useful knowledge about the model and the phenomena it describes, thus experts can generate useful hypotheses on how a model can be improved.",,978-1-5386-3163-8,10.1109/VAST.2017.8585720,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8585720,Machine Learning;Interpretation;Visual Analytics,Data models;Analytical models;Predictive models;Machine learning;Collaboration;Visual analytics,data analysis;data mining;data visualisation;learning (artificial intelligence);pattern classification;statistical analysis,machine learning models;visual diagnostics;binary classifier;instance-level explanations;visual analytics workflow;data scientists;local feature relevance;aggregate statistics;human-in-the-loop data analysis applications;visual representations,,5.0,33.0,,,,,IEEE,IEEE Conferences
262,Duet: Helping Data Analysis Novices Conduct Pairwise Comparisons by Minimal Specification,P. Law; R. C. Basole; Y. Wu,Georgia Institute of Technology; Georgia Institute of Technology; Visa Research,IEEE Transactions on Visualization and Computer Graphics,,2019,25,1.0,427,437,"Data analysis novices often encounter barriers in executing low-level operations for pairwise comparisons. They may also run into barriers in interpreting the artifacts (e.g., visualizations) created as a result of the operations. We developed Duet, a visual analysis system designed to help data analysis novices conduct pairwise comparisons by addressing execution and interpretation barriers. To reduce the barriers in executing low-level operations during pairwise comparison, Duet employs minimal specification: when one object group (i.e. a group of records in a data table) is specified, Duet recommends object groups that are similar to or different from the specified one; when two object groups are specified, Duet recommends similar and different attributes between them. To lower the barriers in interpreting its recommendations, Duet explains the recommended groups and attributes using both visualizations and textual descriptions. We conducted a qualitative evaluation with eight participants to understand the effectiveness of Duet. The results suggest that minimal specification is easy to use and Duet's explanations are helpful for interpreting the recommendations despite some usability issues.",1941-0506,,10.1109/TVCG.2018.2864526,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8440115,Pairwise comparison;novices;data analysis;automatic insight generation,Data analysis;Data visualization;Tools;Law enforcement;Visualization;Systems operation;Knowledge discovery,data analysis;data visualisation;decision making;recommender systems,object group;data table;minimal specification;Duet's explanations;low-level operations;pairwise comparison;visual analysis system;interpretation barriers;groups recommendation;data analysis novices;Duet recommendation;textual descriptions;qualitative evaluation,,3.0,51.0,,,,,IEEE,IEEE Journals
263,Visual Analytics for Root Cause Analysis in Self-Organizing Industrial Systems,M. Kiermeier; S. Feld,"Mobile and Distributed Systems Group, LMU Munich; Mobile and Distributed Systems Group, LMU Munich",2018 IEEE 16th International Conference on Industrial Informatics (INDIN),,2018,,,315,320,"Root cause analysis (RCA) is a central task for quality assurance in manufacturing plants. By tracing back anomalies to its actual trigger, recurrent misbehavior can be eliminated, which improves the system's future performance. In self-organizing industrial systems (SOIS), however, where the system adapts its behavior to the current circumstances and requests, new challenges arise for RCA. For example, the system decides dynamically at runtime how to route the work-pieces through the factory. This high degree of freedom of the system causes a state space explosion, which makes it difficult to formalize explicit connections. In addition, there are new dependency relationships resulting from the online decision making process and its influencing factors, which have to be taken into account for RCA. Accordingly, in this paper, we present first of all a taxonomy of possible root causes in such SOIS. Thereby, we focus in particular on possible error sources resulting from the online decision making process. Based on this, corresponding backtracking approaches are presented, whereby automatable and non-automatable procedures are distinguished. The latter becomes relevant in case that a component of the online decision making system is not evaluable automatably due to the state space explosion. To trace back anomalies anyway, we propose here a visual analytics solution. A corresponding proof of concept which implements the necessary functions for an expert-based assessment is presented in this paper.",2378-363X,978-1-5386-4829-2,10.1109/INDIN.2018.8471969,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8471969,,Decision making;Visual analytics;Taxonomy;Sensors;Production systems;Runtime;Explosions,data visualisation;decision making;manufacturing data processing;quality assurance,RCA;state space explosion;SOIS;online decision making system;visual analytics solution;root cause analysis;quality assurance;manufacturing plants;recurrent misbehavior;self-organizing industrial systems;backtracking approach,,,20.0,,,,,IEEE,IEEE Conferences
264,Non-Invasive Meningitis Diagnosis Using Decision Trees,V. M. Lelis; E. Guzmán; M. Belmonte,"Federal Institute of Education, Science and Technology of Bahia, Salvador, Brazil; Departmento de Lenguajes y Ciencia de la Computación. E.T.S. Ingeniería Informática. Universidad de Málaga, Málaga, Spain; Departmento de Lenguajes y Ciencia de la Computación. E.T.S. Ingeniería Informática. Universidad de Málaga, Málaga, Spain",IEEE Access,,2020,8,,18394,18407,"Meningitis is one of the pandemic diseases that many less developed countries suffer, primarily due to the lack of economic resources to face it. The more severe types of meningitis, Meningococcal Disease, MD, demand immediate medical attention since delays increase the risk of mortality. This paper presents an open and integrated Clinical Decision Support System to assist physicians in the different stages of meningitis diagnostics through observable symptoms. Our system integrates three intelligent components which try to give support to physicians in early diagnostics of meningitis. These components are based on interpretable tree-based machine learning models and knowledge-engineering techniques. A dataset of 26,228 records of patients with a meningitis diagnosis in Brazil was used to construct and evaluate the system. The performance indicators of the decision models exhibit an outstanding classification performance for MD meningitis with a classification accuracy of 94.3%. In order to test the correct diagnosis of the system, an evaluation study with real patients' data was performed. The experimental results concluded that excluding meningitis cases based only on observable symptoms is much more complicated than diagnosing it. However, the system properly diagnosed 88% of meningitis cases from the real database.",2169-3536,,10.1109/ACCESS.2020.2966397,Universidad de Málaga; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8957562,Medical diagnosis;meningitis diagnostic models;tree-based machine learning,Microorganisms;Medical diagnostic imaging;Diseases;Machine learning;Tools;Decision trees,decision support systems;decision trees;developing countries;diseases;learning (artificial intelligence);medical diagnostic computing;patient diagnosis;pattern classification,interpretable tree;machine learning;knowledge-engineering;meningitis diagnostics;clinical decision support system;Meningococcal Disease;developing countries;pandemic diseases;Decision trees;noninvasive meningitis diagnosis;meningitis cases;MD meningitis,,,43.0,CCBY,,,,IEEE,IEEE Journals
265,Attention-Based Multi-Task Learning in Pharmacovigilance,S. Zhang; S. Dev; J. Voyles; A. S. Rao,"Artificial Intelligence Accelerator PricewaterhouseCoopers Advisory, New York, NY, USA; Artificial Intelligence Accelerator PricewaterhouseCoopers Advisory, New York, NY, USA; Artificial Intelligence Accelerator PricewaterhouseCoopers Advisory, New York, NY, USA; Artificial Intelligence Accelerator PricewaterhouseCoopers Advisory, New York, NY, USA",2018 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),,2018,,,2324,22328,"Pharmacovigilance (PV) is the process of monitoring and assessing adverse events (AEs). Currently, the primary method of analysis in PV is manual inspection by individual case managers. However, this is largely unsustainable due to the increased volume of cases over the past few years. Since AE processing involves several sub-tasks, such as annotation and classification, our paper explores a novel solution to PV. In this paper, we propose a multi-task learning (MTL) model, where the hidden layers are shared, to jointly learn the tasks (Named Entity Recognition (NER), Classification). The results of our paper demonstrate that MTL is able to outperform our baseline classification model and equal the baseline model for annotation/NER.11Disclaimer: This content is for general information purposes only, and should not be used as a substitute for consultation with professional advisors.",,978-1-5386-5488-0,10.1109/BIBM.2018.8621286,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8621286,machine learning;adverse events;clinical text;multi-task learning;pharmacovigilance;attention-based model,Task analysis;Drugs;FDA;Natural language processing;Recurrent neural networks;Monitoring,learning (artificial intelligence);medical information systems;pattern classification,PV;AE processing;baseline classification model;pharmacovigilance;MTL model;adverse events;annotation-NER;named entity recognition;attention-based multitask learning model,,,36.0,,,,,IEEE,IEEE Conferences
266,Current and future methodologies of after action review in simulation-based training,S. Hanoun; S. Nahavandi,"Institute for Intelligent Systems Research and Innovation (IISRI), Deakin University, Geelong, Vic 3217, Australia; Institute for Intelligent Systems Research and Innovation (IISRI), Deakin University, Geelong, Vic 3217, Australia",2018 Annual IEEE International Systems Conference (SysCon),,2018,,,1,6,"After Action Review (AAR) is a crucial component in training and particularly in Simulation-based Training (SBT). The effectiveness of AAR is highly dependent on the ability to adequately track and measure the individuals performance during the training exercise scenario. Evaluation and analysis of the individuals captured performance gives importance to AAR and can support developing automated AAR tools where the relationships and connections between actions and events can be automatically determined. In this paper, we regard AAR in SBT with three goals in mind. Firstly, to shed some light on current AAR practices in different SBT application domains. Secondly, to present different AAR methodologies that are followed. Finally, to recommend on future methodologies that are worth adopting to enable better AAR practices in the future.",2472-9647,978-1-5386-3664-0,10.1109/SYSCON.2018.8369516,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8369516,,Training;Task analysis;Tools;Observers;Planning;Data models;Time measurement,computer based training,training exercise scenario;automated AAR tools;after action review;simulation-based training;SBT application domains;AAR methodologies,,1.0,20.0,,,,,IEEE,IEEE Conferences
267,"Unsupervised Machine Learning for Networking: Techniques, Applications and Research Challenges",M. Usama; J. Qadir; A. Raza; H. Arif; K. A. Yau; Y. Elkhatib; A. Hussain; A. Al-Fuqaha,"Information Technology University (ITU)-Punjab, Lahore, Pakistan; Information Technology University (ITU)-Punjab, Lahore, Pakistan; National University of Science and Technology (NUST), Islamabad, Pakistan; National University of Science and Technology (NUST), Islamabad, Pakistan; Sunway University, Subang Jaya, Malaysia; The School of Computing and Communications, Lancaster University, Lancaster, U.K.; School of Computing, Edinburgh Napier University, Edinburgh, U.K.; Information and Computing Technology (ICT) Division, College of Science and Engineering (CSE), Hamad Bin Khalifa University, Doha, Qatar",IEEE Access,,2019,7,,65579,65615,"While machine learning and artificial intelligence have long been applied in networking research, the bulk of such works has focused on supervised learning. Recently, there has been a rising trend of employing unsupervised machine learning using unstructured raw network data to improve network performance and provide services, such as traffic engineering, anomaly detection, Internet traffic classification, and quality of service optimization. The growing interest in applying unsupervised learning techniques in networking stems from their great success in other fields, such as computer vision, natural language processing, speech recognition, and optimal control (e.g., for developing autonomous self-driving cars). In addition, unsupervised learning can unconstrain us from the need for labeled data and manual handcrafted feature engineering, thereby facilitating flexible, general, and automated methods of machine learning. The focus of this survey paper is to provide an overview of applications of unsupervised learning in the domain of networking. We provide a comprehensive survey highlighting recent advancements in unsupervised learning techniques, and describe their applications in various learning tasks, in the context of networking. We also provide a discussion on future directions and open research issues, while identifying potential pitfalls. While a few survey papers focusing on applications of machine learning in networking have previously been published, a survey of similar scope and breadth is missing in the literature. Through this timely review, we aim to advance the current state of knowledge, by carefully synthesizing insights from previous survey papers, while providing contemporary coverage of the recent advances and innovations.",2169-3536,,10.1109/ACCESS.2019.2916648,Qatar National Library (QNL); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8713992,Machine learning;deep learning;unsupervised learning;computer networks,Unsupervised learning;Deep learning;Anomaly detection;Internet of Things;Quality of service,computer networks;Internet;unsupervised learning,learning tasks;survey paper;networking stems;unsupervised learning techniques;Internet traffic classification;network performance;unstructured raw network data;unsupervised machine;supervised learning;networking research;machine learning,,3.0,321.0,,,,,IEEE,IEEE Journals
269,Personalised self-explanation by robots: The role of goals versus beliefs in robot-action explanation for children and adults,F. Kaptein; J. Broekens; K. Hindriks; M. Neerincx,"Department of Intelligent Systems, Delft University of Technology, Mekelweg 4, 2628 CD Delft, The Netherlands; Department of Intelligent Systems, Delft University of Technology, Mekelweg 4, 2628 CD Delft, The Netherlands; Department of Intelligent Systems, Delft University of Technology, Mekelweg 4, 2628 CD Delft, The Netherlands; Department of Intelligent Systems, Delft University of Technology, Mekelweg 4, 2628 CD Delft, The Netherlands",2017 26th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN),,2017,,,676,682,"A good explanation takes the user who is receiving the explanation into account. We aim to get a better understanding of user preferences and the differences between children and adults who receive explanations from a robot. We implemented a Nao-robot as a belief-desire-intention (BDI)-based agent and explained its actions using two different explanation styles. Both are based on how humans explain and justify their actions to each other. One explanation style communicates the beliefs that give context information on why the agent performed the action. The other explanation style communicates the goals that inform the user of the agent's desired state when performing the action. We conducted a user study (19 children, 19 adults) in which a Nao-robot performed actions to support type 1 diabetes mellitus management. We investigated the preference of children and adults for goalversus belief-based action explanations. From this, we learned that adults have a significantly higher tendency to prefer goal-based action explanations. This work is a necessary step in addressing the challenge of providing personalised explanations in human-robot and human-agent interaction.",1944-9437,978-1-5386-3518-6,10.1109/ROMAN.2017.8172376,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8172376,,Robots;Psychology;Pediatrics;Diabetes;Intelligent systems;Games;Aging,human factors;human-robot interaction;multi-agent systems,human-agent interaction;personalised self-explanation;robot-action explanation;user preferences;explanation style;Nao-robot performed actions;human-robot interaction;explanation styles;goal versus belief-based action explanations;belief-desire-intention-based agent,,1.0,29.0,,,,,IEEE,IEEE Conferences
270,Generative And Encoded Anomaly Detectors,T. H. Emerson; J. A. Edelberg; T. Doster; N. Merrill; C. C. Olson,"Applied Optics Branch US Naval Research Laboratory, 4555 Overlook Ave SW,Washington,DC,USA,20375; Applied Optics Branch US Naval Research Laboratory, 4555 Overlook Ave SW,Washington,DC,USA,20375; Applied Optics Branch US Naval Research Laboratory, 4555 Overlook Ave SW,Washington,DC,USA,20375; Applied Optics Branch US Naval Research Laboratory, 4555 Overlook Ave SW,Washington,DC,USA,20375; Applied Optics Branch US Naval Research Laboratory, 4555 Overlook Ave SW,Washington,DC,USA,20375",2019 10th Workshop on Hyperspectral Imaging and Signal Processing: Evolution in Remote Sensing (WHISPERS),,2019,,,1,5,We present two fully unsupervised deep learning approaches for hyperspectral anomaly detection. In one approach we formulate the anomaly detection problem as an adversarial game where a generator network learns the distribution of the hyperspectral background pixels comprising a single hyperspectral image and the output of the corresponding discriminator network yields a detection statistic. The other approach formulates the detection statistic as the error between an input hyperspectral pixel and the reconstruction of that pixel by an autoencoder network trained on the image. Both methods leverage a sub-sampling scheme that allows for unsupervised training and testing on the same data set. Our approaches are validated on a four-class synthetic hyperspectral data set and compared to a statistical approach (RX) and a geometric approach (skelton kernel principal component analysis). The proposed Generative Anomaly Detector algorithm achieves top performance on the data set while the autoencoder detection scheme also demonstrates performance gains relative to the comparison algorithms. Benefits and drawbacks of the approaches are discussed and highlight the many potential directions for future work.,2158-6276,978-1-7281-5294-3,10.1109/WHISPERS.2019.8920850,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8920850,Anomaly Detection;Generative Adversarial Networks;Autoencoder;Hyperspectral Imaging,Hyperspectral imaging;Detectors;Anomaly detection;Training;Gallium nitride;Machine learning;Image reconstruction,hyperspectral imaging;image classification;object detection;principal component analysis;unsupervised learning,autoencoder detection scheme;fully unsupervised deep learning approaches;hyperspectral anomaly detection;anomaly detection problem;adversarial game;generator network;hyperspectral background pixels;single hyperspectral image;corresponding discriminator network;detection statistic;hyperspectral pixel;autoencoder network;sub-sampling scheme;four-class synthetic hyperspectral data;statistical approach;geometric approach;skelton kernel principal component analysis;generative anomaly detector algorithm,,,30.0,,,,,IEEE,IEEE Conferences
271,A Review of Intelligent Cybersecurity with Bayesian Networks,M. J. Pappaterra; F. Flammini,"Linnaeus University,Växjö,Sweden; Linnaeus University,Växjö,Sweden","2019 IEEE International Conference on Systems, Man and Cybernetics (SMC)",,2019,,,445,452,"Cybersecurity threats have surged in the past decades. Experts agree that conventional security measures will soon not be enough to stop the propagation of more sophisticated and harmful cyberattacks. Recently, there has been a growing interest in mastering the complexity of cybersecurity by adopting methods borrowed from Artificial Intelligence (AI) in order to support automation. In this paper, we provide a brief survey and some hints about Bayesian Network applications to intelligent cybersecurity in order to enable quantitative threat assessment for superior risk analysis and situation awareness.",2577-1655,978-1-7281-4569-3,10.1109/SMC.2019.8913864,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8913864,,Artificial intelligence;Bayes methods;Computer crime;Hidden Markov models;Internet,artificial intelligence;belief networks;risk analysis;security of data,cybersecurity threats;harmful cyberattacks;intelligent cybersecurity;quantitative threat assessment;Bayesian network applications;Bayesian networks,,,32.0,,,,,IEEE,IEEE Conferences
272,Software Engineering for Machine Learning: A Case Study,S. Amershi; A. Begel; C. Bird; R. DeLine; H. Gall; E. Kamar; N. Nagappan; B. Nushi; T. Zimmermann,"Microsoft Research, United States; Microsoft Research, United States; Microsoft Research, United States; Microsoft Research, United States; University of Zurich, Switzerland; Microsoft Research, United States; Microsoft Research, United States; Microsoft Research, United States; Microsoft Research, United States",2019 IEEE/ACM 41st International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP),,2019,,,291,300,"Recent advances in machine learning have stimulated widespread interest within the Information Technology sector on integrating AI capabilities into software and services. This goal has forced organizations to evolve their development processes. We report on a study that we conducted on observing software teams at Microsoft as they develop AI-based applications. We consider a nine-stage workflow process informed by prior experiences developing AI applications (e.g., search and NLP) and data science tools (e.g. application diagnostics and bug reporting). We found that various Microsoft teams have united this workflow into preexisting, well-evolved, Agile-like software engineering processes, providing insights about several essential engineering challenges that organizations may face in creating large-scale AI solutions for the marketplace. We collected some best practices from Microsoft teams to address these challenges. In addition, we have identified three aspects of the AI domain that make it fundamentally different from prior software application domains: 1) discovering, managing, and versioning the data needed for machine learning applications is much more complex and difficult than other types of software engineering, 2) model customization and model reuse require very different skills than are typically found in software teams, and 3) AI components are more difficult to handle as distinct modules than traditional software components - models may be ""entangled"" in complex ways and experience non-monotonic error behavior. We believe that the lessons learned by Microsoft teams will be valuable to other organizations.",,978-1-7281-1760-7,10.1109/ICSE-SEIP.2019.00042,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8804457,artifical intelligence;machine learning;software engineering;process;data,,learning (artificial intelligence);software prototyping,nine-stage workflow process;Microsoft teams;large-scale AI solutions;machine learning applications;software teams;data science tools;agile-like software engineering processes,,7.0,37.0,,,,,IEEE,IEEE Conferences
273,Extracting Topic Related Keywords by Backtracking CNN Based Text Classifier,J. Cha; J. Lee,Sungkyunkwan University; Sungkyunkwan University,2018 Joint 10th International Conference on Soft Computing and Intelligent Systems (SCIS) and 19th International Symposium on Advanced Intelligent Systems (ISIS),,2018,,,93,96,"In the last decades, many studies have been done to extract keywords from text and they show remarkable performance. Most of these studies use a rule-based methodology. They usually focus on Part of Speech(POS), collocations, co-occurrences and dependency of words. However, considering the topic of text is very important key for extracting keywords. Thus, in this paper, we proposed a keywords extracting method using Convolutional Neural Network(CNN) based text classifier which has sufficient information about the topic of text. Experimental results show that using topic related information in CNN text classifier model can improve the quality of keywords extraction. Also proposed method is advantageous in that it requires only a deep learning model differently from existing methods.",,978-1-5386-2633-7,10.1109/SCIS-ISIS.2018.00026,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8716115,"keywords extraction, CNN, Grad-Cam",Text categorization;Feature extraction;Visualization;Convolution;Data models;Convolutional neural networks,backtracking;convolutional neural nets;learning (artificial intelligence);natural language processing;text analysis,topic related information;CNN text classifier model;keywords extraction;topic related keywords;CNN based text classifier;rule-based methodology;co-occurrences;convolutional neural network;backtracking;collocations;part-of-speech;dependency-of-words,,,13.0,,,,,IEEE,IEEE Conferences
274,Fuzzy Sets in Data Analysis: From Statistical Foundations to Machine Learning,I. Couso; C. Borgelt; E. Hullermeier; R. Kruse,"Statistics, University of Oviedo, Gijon, Spain; Computer and Information Science, University of Konstanz, Konstanz, Germany; Computer Science and Engineering, Paderborn University, Germany; Computer Science and Engineering, Otto von Guericke University, Magdeburg, Germany",IEEE Computational Intelligence Magazine,,2019,14,1.0,31,44,"Basic ideas and formal concepts from fuzzy sets and fuzzy logic have been used successfully in various branches of science and engineering. This paper elaborates on the use of fuzzy sets in the broad field of data analysis and statistical sciences, including modern manifestations such as data mining and machine learning. In the fuzzy logic community, this branch of research has recently gained in importance, especially due to the emergence of data science as a new scientific discipline, and the increasing relevance of machine learning as a key methodology of modern artificial intelligence. This development has been accompanied by an internal shift from largely knowledge-based to strongly data-driven fuzzy modeling and systems design. Reflecting on the historical dimension and evolution of the area, we discuss the role of fuzzy logic in data analysis and related fields, highlight existing contributions of fuzzy sets in these fields, and outline interesting directions for future work.",1556-6048,,10.1109/MCI.2018.2881642,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8610265,,"Fuzzy sets;Random variables;Fuzzy logic;Data analysis;Machine learning;Data models;Data mining;Zadeh, Lotfi",data analysis;data mining;fuzzy logic;fuzzy set theory;learning (artificial intelligence);statistical analysis,data analysis;machine learning;fuzzy sets;statistical sciences;data mining;fuzzy logic community;data science;data-driven fuzzy modeling,,1.0,122.0,,,,,IEEE,IEEE Magazines
276,Trust calibration within a human-robot team: Comparing automatically generated explanations,N. Wang; D. V. Pynadath; S. G. Hill,"University of Southern California, Los Angeles, USA; University of Southern California, Los Angeles, USA; U.S. Army Research Laboratory, Aberdeen Proving Ground, MD USA",2016 11th ACM/IEEE International Conference on Human-Robot Interaction (HRI),,2016,,,109,116,"Trust is a critical factor for achieving the full potential of human-robot teams. Researchers have theorized that people will more accurately trust an autonomous system, such as a robot, if they have a more accurate understanding of its decision-making process. Studies have shown that hand-crafted explanations can help maintain trust when the system is less than 100% reliable. In this work, we leverage existing agent algorithms to provide a domain-independent mechanism for robots to automatically generate such explanations. To measure the explanation mechanism's impact on trust, we collected self-reported survey data and behavioral data in an agent-based online testbed that simulates a human-robot team task. The results demonstrate that the added explanation capability led to improvement in transparency, trust, and team performance. Furthermore, by observing the different outcomes due to variations in the robot's explanation content, we gain valuable insight that can help lead to refinement of explanation algorithms to further improve human-robot trust calibration.",2167-2148,978-1-4673-8370-7,10.1109/HRI.2016.7451741,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7451741,,Robot sensing systems;Buildings;Decision making;Reliability;Uncertainty;Artificial intelligence,human-robot interaction,human-robot team;comparing automatically generated explanations;autonomous system;decision-making process;hand crafted explanations;domain independent mechanism;behavioral data;robot explanation content;human-robot trust calibration,,23.0,49.0,,,,,IEEE,IEEE Conferences
277,TeleGam: Combining Visualization and Verbalization for Interpretable Machine Learning,F. Hohman; A. Srinivasan; S. M. Drucker,Georgia Institute of Technology; Georgia Institute of Technology; Microsoft Research,2019 IEEE Visualization Conference (VIS),,2019,,,151,155,"While machine learning (ML) continues to find success in solving previously-thought hard problems, interpreting and exploring ML models remains challenging. Recent work has shown that visualizations are a powerful tool to aid debugging, analyzing, and interpreting ML models. However, depending on the complexity of the model (e.g., number of features), interpreting these visualizations can be difficult and may require additional expertise. Alternatively, textual descriptions, or verbalizations, can be a simple, yet effective way to communicate or summarize key aspects about a model, such as the overall trend in a model's predictions or comparisons between pairs of data instances. With the potential benefits of visualizations and verbalizations in mind, we explore how the two can be combined to aid ML interpretability. Specifically, we present a prototype system, TeleGam, that demonstrates how visualizations and verbalizations can collectively support interactive exploration of ML models, for example, generalized additive models (GAMs). We describe TELEGAM's interface and underlying heuristics to generate the verbalizations. We conclude by discussing how TeleGam can serve as a platform to conduct future studies for understanding user expectations and designing novel interfaces for interpretable ML.",,978-1-7281-4941-7,10.1109/VISUAL.2019.8933695,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8933695,Human-centered computing;Visual Analytics,Data models;Data visualization;Predictive models;Analytical models;Shape;Natural languages;Additives,data visualisation;interactive systems;learning (artificial intelligence);program debugging;user interfaces,TeleGam;visualization;verbalization;interpretable machine learning;hard problems;ML models;verbalizations;ML interpretability;interactive exploration;generalized additive models;heuristics;interpretable ML,,,41.0,,,,,IEEE,IEEE Conferences
